-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      73.448ms        64.46%      73.448ms      17.488us          4200  
                                           aten::linear         0.20%       5.008ms        57.61%        1.437s       1.041ms       0.000us         0.00%      55.245ms      40.033us          1380  
                                            aten::addmm         2.97%      74.099ms        57.09%        1.424s       1.032ms      55.245ms        48.48%      55.245ms      40.033us          1380  
                                              aten::gru         1.50%      37.346ms        19.34%     482.354ms     325.915us       0.000us         0.00%      37.728ms      25.492us          1480  
                                       aten::_cudnn_rnn        13.72%     342.157ms        17.17%     428.266ms     289.369us      37.728ms        33.11%      37.728ms      25.492us          1480  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.729ms        11.17%      12.729ms       9.224us          1380  
                                              aten::cat         1.54%      38.482ms         2.53%      63.201ms      22.899us       7.698ms         6.76%       7.698ms       2.789us          2760  
                                           aten::argmax         1.20%      29.997ms         1.66%      41.470ms      30.051us       7.005ms         6.15%       7.005ms       5.076us          1380  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       7.005ms         6.15%       7.005ms       5.076us          1380  
void elemWiseRNNcell<float, float, float, (cudnnRNNM...         0.00%       0.000us         0.00%       0.000us       0.000us       5.772ms         5.07%       5.772ms       2.047us          2820  
                                        aten::embedding         0.38%       9.561ms         2.67%      66.537ms      44.957us       0.000us         0.00%       4.825ms       3.260us          1480  
                                     aten::index_select         0.76%      18.954ms         2.03%      50.638ms      34.215us       4.825ms         4.23%       4.825ms       3.260us          1480  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       4.756ms         4.17%       4.756ms       3.264us          1457  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       4.105ms         3.60%       4.105ms       2.975us          1380  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       3.593ms         3.15%       3.593ms       2.604us          1380  
void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_6...         0.00%       0.000us         0.00%       0.000us       0.000us       1.065ms         0.93%       1.065ms      10.650us           100  
                                             aten::item         0.08%       2.059ms         6.71%     167.311ms     121.240us       0.000us         0.00%     777.000us       0.563us          1380  
                              aten::_local_scalar_dense         0.34%       8.582ms         6.62%     165.252ms     119.748us     777.000us         0.68%     777.000us       0.563us          1380  
